gid,event,inning,top_bot,vis_home,site,batteam,pitteam,score_v,score_h,batter,pitcher,lp,bat_f,bathand,pithand,balls,strikes,count,pitches,nump,pa,ab,single,double,triple,hr,sh,sf,hbp,walk,k,xi,roe,fc,othout,noout,oth,bip,bunt,ground,fly,line,iw,gdp,othdp,tp,fle,wp,pb,bk,oa,di,sb2,sb3,sbh,cs2,cs3,csh,pko1,pko2,pko3,k_safe,e1,e2,e3,e4,e5,e6,e7,e8,e9,outs_pre,outs_post,br1_pre,br2_pre,br3_pre,br1_post,br2_post,br3_post,lob_id1,lob_id2,lob_id3,pr1_pre,pr2_pre,pr3_pre,pr1_post,pr2_post,pr3_post,run_b,run1,run2,run3,prun_b,prun1,prun2,prun3,ur_b,ur1,ur2,ur3,rbi_b,rbi1,rbi2,rbi3,runs,rbi,er,tur,l1,l2,l3,l4,l5,l6,l7,l8,l9,lf1,lf2,lf3,lf4,lf5,lf6,lf7,lf8,lf9,f2,f3,f4,f5,f6,f7,f8,f9,po0,po1,po2,po3,po4,po5,po6,po7,po8,po9,a1,a2,a3,a4,a5,a6,a7,a8,a9,fseq,batout1,batout2,batout3,brout_b,brout1,brout2,brout3,firstf,loc,hittype,dpopp,pivot,pn,umphome,ump1b,ump2b,ump3b,umplf,umprf,date,gametype,pbp
NLS202507150,K,1,0,0,ATL03,ALS,NLS,0,0,torrg001,skenp001,1,4.0,R,R,2,2,22,FBTBS,5.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,torrg001,greer003,judga001,ralec001,guerv002,ohear001,camij001,baezj001,wilsj006,4,7,9,2,3,10,5,8,6,smitw003,freef001,martk001,machm001,lindf001,tuckk001,crowp001,acunr001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,,,0,0,1,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,K,1,0,0,ATL03,ALS,NLS,0,0,greer003,skenp001,2,7.0,L,R,3,2,32,BCCBFBS,7.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,torrg001,greer003,judga001,ralec001,guerv002,ohear001,camij001,baezj001,wilsj006,4,7,9,2,3,10,5,8,6,smitw003,freef001,martk001,machm001,lindf001,tuckk001,crowp001,acunr001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,,,0,0,2,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,43/G4M,1,0,0,ATL03,ALS,NLS,0,0,judga001,skenp001,3,9.0,R,R,0,1,1,CX,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,torrg001,greer003,judga001,ralec001,guerv002,ohear001,camij001,baezj001,wilsj006,4,7,9,2,3,10,5,8,6,smitw003,freef001,martk001,machm001,lindf001,tuckk001,crowp001,acunr001,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43.0,4,0,0,0,0,0,0,4,4M+,G,0,0,3,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,S8/L8,1,1,1,ATL03,NLS,ALS,0,0,ohtas001,skubt001,1,10.0,L,L,1,2,12,FFBX,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,ohtas001,,,,,,,,,skubt001,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,8+,L,0,0,4,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,S4/G4S-.1-2,1,1,1,ATL03,NLS,ALS,0,0,acunr001,skubt001,2,9.0,R,L,1,2,12,FSBX,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,,,acunr001,ohtas001,,,,,skubt001,,,skubt001,skubt001,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,4S-,G,0,0,5,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,D9/G3+.2-H;1-H,1,1,1,ATL03,NLS,ALS,0,0,martk001,skubt001,3,4.0,B,L,0,1,1,SX,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,acunr001,ohtas001,,,martk001,,,,,skubt001,skubt001,,,skubt001,,,acunr001,ohtas001,,,skubt001,skubt001,,0,0,0,0,0,1,1,0,2,2,2,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9,3+,G,0,0,6,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,53/G56,1,1,1,ATL03,NLS,ALS,0,2,freef001,skubt001,4,3.0,L,L,1,1,11,BSX,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,martk001,,,martk001,,,,,,skubt001,,,skubt001,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.0,5,0,0,0,0,0,0,5,56+,G,0,0,7,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,K,1,1,1,ATL03,NLS,ALS,0,2,machm001,skubt001,5,5.0,R,L,0,2,2,FSC,3.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,martk001,,,martk001,,,,,,skubt001,,,skubt001,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,,,0,0,8,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,K,1,1,1,ATL03,NLS,ALS,0,2,smitw003,skubt001,6,2.0,R,L,0,2,2,CTS,3.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,martk001,,,,,martk001,,,,skubt001,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,ohtas001,acunr001,martk001,freef001,machm001,smitw003,tuckk001,lindf001,crowp001,10,9,4,3,5,2,7,6,8,ralec001,guerv002,torrg001,camij001,wilsj006,greer003,baezj001,judga001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,,,0,0,9,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
NLS202507150,7/L7LD+,2,0,0,ATL03,ALS,NLS,0,2,ralec001,kersc001,4,2.0,B,L,0,0,0,.X,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,torrg001,greer003,judga001,ralec001,guerv002,ohear001,camij001,baezj001,wilsj006,4,7,9,2,3,10,5,8,6,smitw003,freef001,martk001,machm001,lindf001,tuckk001,crowp001,acunr001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,7,0,0,0,0,0,0,7,7LD+,L,0,0,10,iassd901,hudsm901,segac901,viscj901,rehaj901,bacce901,20250715,allstar,full
